TrackId,Name,Title
404,"Mr Funk Samba","Chill: Brazil (Disc 2)"
405,"Santo Antonio","Chill: Brazil (Disc 2)"
406,"Por Você","Chill: Brazil (Disc 2)"
407,"Só Tinha De Ser Com Você","Chill: Brazil (Disc 2)"
408,"Free Speech For The Dumb","Garage Inc. (Disc 1)"
409,"It's Electric","Garage Inc. (Disc 1)"
410,"Sabbra Cadabra","Garage Inc. (Disc 1)"
411,"Turn The Page","Garage Inc. (Disc 1)"
412,"Die Die My Darling","Garage Inc. (Disc 1)"
413,Loverman,"Garage Inc. (Disc 1)"
414,"Mercyful Fate","Garage Inc. (Disc 1)"
415,Astronomy,"Garage Inc. (Disc 1)"
416,"Whiskey In The Jar","Garage Inc. (Disc 1)"
417,"Tuesday's Gone","Garage Inc. (Disc 1)"
418,"The More I See","Garage Inc. (Disc 1)"
419,"A Kind Of Magic","Greatest Hits II"
420,"Under Pressure","Greatest Hits II"
421,"Radio GA GA","Greatest Hits II"
422,"I Want It All","Greatest Hits II"
423,"I Want To Break Free","Greatest Hits II"
424,Innuendo,"Greatest Hits II"
425,"It's A Hard Life","Greatest Hits II"
426,Breakthru,"Greatest Hits II"
427,"Who Wants To Live Forever","Greatest Hits II"
428,Headlong,"Greatest Hits II"
429,"The Miracle","Greatest Hits II"
430,"I'm Going Slightly Mad","Greatest Hits II"
431,"The Invisible Man","Greatest Hits II"
432,"Hammer To Fall","Greatest Hits II"
433,"Friends Will Be Friends","Greatest Hits II"
434,"The Show Must Go On","Greatest Hits II"
435,"One Vision","Greatest Hits II"
436,"Detroit Rock City","Greatest Kiss"
437,"Black Diamond","Greatest Kiss"
438,"Hard Luck Woman","Greatest Kiss"
439,"Sure Know Something","Greatest Kiss"
440,"Love Gun","Greatest Kiss"
441,Deuce,"Greatest Kiss"
442,"Goin' Blind","Greatest Kiss"
443,"Shock Me","Greatest Kiss"
444,"Do You Love Me","Greatest Kiss"
445,She,"Greatest Kiss"
446,"I Was Made For Loving You","Greatest Kiss"
447,"Shout It Out Loud","Greatest Kiss"
448,"God Of Thunder","Greatest Kiss"
449,"Calling Dr. Love","Greatest Kiss"
450,Beth,"Greatest Kiss"
451,Strutter,"Greatest Kiss"
452,"Rock And Roll All Nite","Greatest Kiss"
453,"Cold Gin","Greatest Kiss"
454,"Plaster Caster","Greatest Kiss"
455,"God Gave Rock 'n' Roll To You","Greatest Kiss"
456,"Heart of the Night","Heart of the Night"
457,"De La Luz","Heart of the Night"
458,"Westwood Moon","Heart of the Night"
459,Midnight,"Heart of the Night"
460,Playtime,"Heart of the Night"
461,Surrender,"Heart of the Night"
462,"Valentino's","Heart of the Night"
463,Believe,"Heart of the Night"
464,"As We Sleep","Heart of the Night"
465,"When Evening Falls","Heart of the Night"
466,"J Squared","Heart of the Night"
467,"Best Thing","Heart of the Night"
468,Maria,"International Superhits"
469,"Poprocks And Coke","International Superhits"
470,Longview,"International Superhits"
471,"Welcome To Paradise","International Superhits"
472,"Basket Case","International Superhits"
473,"When I Come Around","International Superhits"
474,She,"International Superhits"
475,"J.A.R. (Jason Andrew Relva)","International Superhits"
476,"Geek Stink Breath","International Superhits"
477,"Brain Stew","International Superhits"
478,Jaded,"International Superhits"
479,"Walking Contradiction","International Superhits"
480,"Stuck With Me","International Superhits"
481,"Hitchin' A Ride","International Superhits"
482,"Good Riddance (Time Of Your Life)","International Superhits"
483,Redundant,"International Superhits"
484,"Nice Guys Finish Last","International Superhits"
485,Minority,"International Superhits"
486,Warning,"International Superhits"
487,Waiting,"International Superhits"
488,"Macy's Day Parade","International Superhits"
489,"Into The Light","Into The Light"
490,"River Song","Into The Light"
491,"She Give Me ...","Into The Light"
492,"Don't You Cry","Into The Light"
493,"Love Is Blind","Into The Light"
494,Slave,"Into The Light"
495,"Cry For Love","Into The Light"
496,"Living On Love","Into The Light"
497,"Midnight Blue","Into The Light"
498,"Too Many Tears","Into The Light"
499,"Don't Lie To Me","Into The Light"
500,"Wherever You May Go","Into The Light"
501,"Grito De Alerta","Meus Momentos"
502,"Não Dá Mais Pra Segurar (Explode Coração)","Meus Momentos"
503,"Começaria Tudo Outra Vez","Meus Momentos"
504,"O Que É O Que É ?","Meus Momentos"
505,Sangrando,"Meus Momentos"
506,"Diga Lá, Coração","Meus Momentos"
507,"Lindo Lago Do Amor","Meus Momentos"
508,"Eu Apenas Queria Que Voçê Soubesse","Meus Momentos"
509,"Com A Perna No Mundo","Meus Momentos"
510,"E Vamos À Luta","Meus Momentos"
511,"Um Homem Também Chora (Guerreiro Menino)","Meus Momentos"
512,"Comportamento Geral","Meus Momentos"
513,"Ponto De Interrogação","Meus Momentos"
514,"Espere Por Mim, Morena","Meus Momentos"
515,"Meia-Lua Inteira","Minha Historia"
516,"Voce e Linda","Minha Historia"
517,"Um Indio","Minha Historia"
518,"Podres Poderes","Minha Historia"
519,"Voce Nao Entende Nada - Cotidiano","Minha Historia"
520,"O Estrangeiro","Minha Historia"
521,"Menino Do Rio","Minha Historia"
522,"Qualquer Coisa","Minha Historia"
523,Sampa,"Minha Historia"
524,Queixa,"Minha Historia"
525,"O Leaozinho","Minha Historia"
526,"Fora Da Ordem","Minha Historia"
527,Terra,"Minha Historia"
528,"Alegria, Alegria","Minha Historia"
529,"Balada Do Louco","Minha História"
530,"Ando Meio Desligado","Minha História"
531,"Top Top","Minha História"
532,Baby,"Minha História"
533,"A E O Z","Minha História"
534,"Panis Et Circenses","Minha História"
535,"Chão De Estrelas","Minha História"
536,"Vida De Cachorro","Minha História"
537,"Bat Macumba","Minha História"
538,"Desculpe Babe","Minha História"
539,"Rita Lee","Minha História"
540,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll","Minha História"
541,"Banho De Lua","Minha História"
542,"Meu Refrigerador Não Funciona","Minha História"
543,Burn,"MK III The Final Concerts [Disc 1]"
544,Stormbringer,"MK III The Final Concerts [Disc 1]"
545,Gypsy,"MK III The Final Concerts [Disc 1]"
546,"Lady Double Dealer","MK III The Final Concerts [Disc 1]"
547,Mistreated,"MK III The Final Concerts [Disc 1]"
548,"Smoke On The Water","MK III The Final Concerts [Disc 1]"
549,"You Fool No One","MK III The Final Concerts [Disc 1]"
550,"Custard Pie","Physical Graffiti [Disc 1]"
551,"The Rover","Physical Graffiti [Disc 1]"
552,"In My Time Of Dying","Physical Graffiti [Disc 1]"
553,"Houses Of The Holy","Physical Graffiti [Disc 1]"
554,"Trampled Under Foot","Physical Graffiti [Disc 1]"
